Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Status,Components,Fix Version,Story Points
Epic,Development Workflow — Planning & Toolchain,"Establish and continuously improve the end-to-end development workflow used by Don and Claude to plan, build, and ship features in the Options Analyzer. Covers the ideation and design process, the Claude Code prompt-driven development process, and the configuration of tools and integrations (Jira, GitHub, MCP, Chrome) that automate and streamline collaboration. The goal is to reduce friction at every stage — from idea to deployed feature — through automation, clear process definition, and reliable tooling.",High,requirement;framework-portable,Development Workflow — Planning & Toolchain,,Idea,dev-workflow,Ongoing,
Feature,Ideation & Design Process,"Define and document the process by which new ideas are captured, evaluated, designed, and queued for development. Covers how backlog items progress from raw idea through design decisions, UI contracts, and architectural planning before any code is written.",High,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,5
Subtask,Document Jira workflow status definitions in CLAUDE.md,"Add the 5-stage workflow definition to CLAUDE.md so every Claude Code session starts with the correct status semantics: 0-Idea (raw backlog), 1-To Do (Don promotes), 2-In Review (Claude Web groups and plans prompts), 3-In Progress (Claude Code executing), 4-Done (auto-closed by commit trigger). Include workflow rules and role assignments.",Medium,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,2
Subtask,Define process for promoting Idea items to To Do,"Document how Don selects and promotes Jira items from Idea to To Do status. Criteria: item is well-defined, no blocking dependencies, fits the next logical build increment. Claude Web assists by flagging dependencies and grouping related items.",Low,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,1
Subtask,Define UI-DECISIONS.md update process,"Establish the rule that any UI decision must be recorded in UI-DECISIONS.md before Claude Code implements it. Document the review step: Claude Web proposes, Don approves, UI-DECISIONS.md is updated, then the Claude Code prompt is written.",Medium,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,2
Subtask,Define architecture-plan.md update process,"Establish the rule that any architectural decision (new table, new endpoint pattern, new provider, new phase) must be recorded in architecture-plan.md before implementation. Claude Web proposes, Don approves, then docs are updated in the same commit as the feature.",Medium,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,2
Feature,Development Process,"Define and document the Claude Code prompt-driven development process. Covers how In Review items are grouped into parallel sessions, how prompts are written, how Claude Code executes them, and how results are reviewed and committed. The goal is a repeatable, low-friction flow from approved design to merged code.",High,requirement;framework-portable,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,5
Subtask,Document parallel session strategy in CLAUDE.md,"Document the parallel session pattern: Claude Web groups In Review items into independent streams, writes one .md prompt file per session, Don opens parallel Claude Code windows and runs them simultaneously. Include guidance on when items are safe to parallelize (no shared file edits) vs must be sequential.",Medium,requirement;framework-portable,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,2
Subtask,Document prompt file naming convention,"Standardize Claude Code prompt file naming: CLAUDE-CODE-PROMPT-OTA-{ticket numbers}-{short-description}.md. Store in project root. Commit prompt files alongside the code they produce so there is a permanent record of what was asked vs what was built.",Low,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,1
Subtask,Document commit message convention for Jira automation,"Formalize the commit message format required to trigger Jira automation: always prefix with all OTA ticket numbers addressed in the session (e.g. OTA-152 OTA-153 feat: ...). Claude Code must include ALL ticket numbers from the session in every commit prefix. Document in CLAUDE.md.",Medium,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,1
Subtask,Define Claude Code session start checklist,"Document the mandatory session start steps for Claude Code: (1) ask Don about Jira review, (2) cat CLAUDE.md, (3) cat UI-DECISIONS.md before any UI work, (4) cat actual files before editing — never rely on memory. Formalize this as a checklist in CLAUDE.md.",Medium,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,2
Subtask,Define post-session review process,"Document what happens after Claude Code completes a session: Don reviews output, reports results back to Claude Web, tickets confirmed done are already auto-closed by commit trigger. Any partial completions or failures are documented and re-queued as new subtasks.",Low,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,1
Feature,Tool Configuration,"Configure and maintain the tools and integrations that automate the development workflow. Covers Jira automation rules, GitHub integration, MCP server connections, and Chrome extension setup. The goal is to eliminate manual status updates and reduce the overhead of context-switching between tools.",High,requirement;framework-portable,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,5
Subtask,Configure Claude-to-Jira MCP interaction,"Replace the current browser-based Jira interaction (Claude in Chrome navigating tmtctech-team.atlassian.net) with direct Atlassian MCP server calls. When working, Claude Web can read and update Jira issues, move ticket statuses, and pull sprint state without requiring a browser session. Prerequisite: resolve Atlassian MCP tool resolution issue in Claude.ai (tools not loading despite connector being active). Steps: (1) diagnose why Atlassian MCP tools are not surfacing in tool_search, (2) test direct MCP calls to Jira REST API, (3) validate that Claude can read open issues and update statuses without the browser, (4) update CLAUDE.md session start protocol to use MCP instead of browser.",High,requirement;framework-portable,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,5
Subtask,Verify and document Jira commit automation rule,"Confirm the Jira automation rule (When: Commit created → Transition to Done) is working correctly end-to-end. Push a test commit with a known OTA ticket number and verify the ticket moves to Done automatically. Document the rule configuration and any edge cases in CLAUDE.md.",Medium,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,2
Subtask,Resolve GitHub connector for Claude Web,"Diagnose and resolve Anthropic bug #33875 — private GitHub repo access blocked for the donmisho/options-trade-analyzer repo. When resolved, Claude Web can read commit history and file contents directly, eliminating the need to upload project docs manually. File support ticket if not already done.",Medium,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,3
Subtask,Document Chrome extension setup and CORS note,"Add to CLAUDE.md and onboarding docs: Claude in Chrome extension must be installed in Chrome (not Edge). The Allow CORS: Access-Control-Allow-Origin extension must remain disabled by default — when enabled it blocks the Claude extension. Enable CORS extension only when needed for local dev testing, then disable immediately after.",Low,requirement,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,1
Subtask,Evaluate Jira automation for status transitions beyond Done,"Assess whether additional Jira automation rules can auto-move tickets through earlier stages. For example: when a Claude Code prompt file is committed, auto-move linked tickets to In Progress. When a PR or branch is created, auto-move to In Review. Document findings and implement rules that add value without adding noise.",Low,requirement;framework-portable,,Development Workflow — Planning & Toolchain,Idea,dev-workflow,Ongoing,3
