Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Status,Components,Fix Version
Epic,2.0.x Pre-Flight Fixes + Scoring Pipeline,"Gate: must be 100% complete before 2.1.x begins. Group 6 failures, UX requirements, scoring pipeline fixes, SKILL.md tuning, dev housekeeping.",Highest,testing-gate,2.0.x Pre-Flight Fixes + Scoring Pipeline,,In Progress,options-terminal;evaluation-ui;scoring-engine;ai-evaluation;auth-infra,2.0.x
Story,Group 6 Test Failures,Three FAIL items from manual testing gate.,Highest,bug;testing-gate,,2.0.x Pre-Flight Fixes + Scoring Pipeline,In Progress,ui-shell;evaluation-ui,2.0.x
Task,"Toast notification after Follow (Paper) — top-right, auto-dismiss 4s, View Positions link","Buttons exist but no toast fires. Build shared Toast component, wire to Follow action. Items #20/21.",High,bug;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,ui-shell,2.0.x
Task,Buttons on Security Strategies page must not span full page width,All buttons span full page. Fix to width:auto per button standards. Item #22.,High,bug;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,evaluation-ui,2.0.x
Task,MSAL fix — stale localStorage tokens cause silent SSO failure,Login loop resolved. Verified working.,High,bug,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,auth-infra,2.0.x
Story,UX Requirements from Group 6 Testing,New requirements captured during Group 6 manual testing.,High,requirement,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal;ui-shell,2.0.x
Task,"Score standardization: all scores 0-100, formatted ##.00 everywhere","Inline row scores, expansion panel contributions, total row. Item #25.",High,requirement,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,options-terminal;evaluation-ui;scoring-engine,2.0.x
Task,Last Analyzed date format → mm-dd-yyyy hh:mm,Item #32. QuoteBar and all pages.,Medium,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal,2.0.x
Task,Date format mm-dd-yyyy enforced globally,Item #33. Add as standing rule in CLAUDE.md. Audit all date displays.,Medium,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal;ui-shell;dashboard-ui;positions-ui,2.0.x
Task,Empty symbol box placeholder: Enter a symbol to analyze [page name],"Item #26. Verticals, Puts/Calls, future screens.",Low,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal,2.0.x
Task,TYPE column sortable (all columns sortable),Item #27. TYPE was the only non-sortable column.,Medium,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal,2.0.x
Task,"Chart default: today-90, session-persistent on user selection","Item #29. Once user picks a new start date, persist for the session.",Medium,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal,2.0.x
Task,Theta Decay display: dollar / percentage format with configurable threshold,Item #34. Show % when at or below threshold (default 10%); dollar-only above. Calc: (theta/day / total premium) x 100.,Medium,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal,2.0.x
Story,Scoring Pipeline Fixes (Validation Assessment March 17),CRITICAL and HIGH severity findings from validation assessment. All items complete.,Highest,pipeline-fix;testing-gate,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Task,0-DTE hard filter: DTE <= 7 auto-PASS; DTE 8-13 apply 20pt penalty,CRITICAL. Implemented in evaluation_routes.py. Verified.,Highest,pipeline-fix,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Task,Credit % of width: display field + hard gate at 30%,CRITICAL. Hard auto-PASS gate implemented.,Highest,pipeline-fix,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Task,Debit % of width: display field + hard gate at 40%,Auto-PASS gate implemented.,High,pipeline-fix,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Task,"Cushion scoring penalty: <1% = -20pts, <2% = -10pts",Deterministic penalty applied post-scoring. ATR cross-ref deferred to backtest-variable.,High,pipeline-fix,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Task,"Score band enforcement: >=70 EXECUTE, 50-69 WAIT, <50 PASS",Implemented in evaluation_routes.py. Single source of truth for verdict assignment.,High,pipeline-fix,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Story,SKILL.md Prompt Tuning (Validation Assessment),Two prompt tuning changes completed.,High,skill-md-tune,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,ai-evaluation,2.0.x
Task,IV impact narrative: credit spread = premium received benefits seller; debit = headwind,Added explicit credit vs debit distinction with reversal prevention rules.,High,skill-md-tune,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,ai-evaluation,2.0.x
Task,Earnings post-expiry flag: earnings within 14 days after expiry,Added pre-earnings IV buildup risk flag for post-expiry earnings window.,Medium,skill-md-tune,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,ai-evaluation,2.0.x
Story,DEV Housekeeping,Security fix and dead code cleanup completed.,High,tech-debt;security,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,auth-infra;options-terminal,2.0.x
Task,"Remove cert.pem and key.pem from git, add to .gitignore",Removed from git tracking via git rm --cached. Added to .gitignore. Files kept on disk.,Highest,security,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,auth-infra,2.0.x
Task,"Delete dead files: AskClaudePanel, VerticalsPage, NakedOptionsPage, FavoritesPage",All 4 files deleted. Orphaned imports removed. Frontend builds clean.,Medium,tech-debt,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,options-terminal;evaluation-ui,2.0.x
Story,Post-2.0.x Validation Assessment,Run validation assessment after all 2.0.x fixes ship.,High,validation,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,scoring-engine;ai-evaluation,2.0.x
Task,Run validation assessment on same 6 tickers post-fix,"AAPL, XOM, IWM, LLY, AVGO, META. Compare agreement rate against 68% baseline.",High,validation,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,scoring-engine;ai-evaluation,2.0.x
Epic,2.1.x Security Strategies Page,Security Strategies page complete with Group 6 requirements #35-42. Maps to PARALLEL-BUILD-GUIDE Phase 2.9.,High,requirement,2.1.x Security Strategies Page,,To Do,evaluation-ui;scoring-engine,2.1.x
Story,Strategy Scoring Backend (Phase 2.9 Stream A),"strategy_definitions.py, black_scholes.py, strategy_scorer.py, two new API endpoints.",High,requirement;claude-code,,2.1.x Security Strategies Page,To Do,scoring-engine,2.1.x
Task,Create strategy_definitions.py and black_scholes.py,Session 1 Window 1. Prompt A1 from PHASE-2.9.md.,High,claude-code,,2.1.x Security Strategies Page,To Do,scoring-engine,2.1.x
Task,Create strategy_scorer.py + scorecard and probability-matrix endpoints,Session 2 Window 1. Prompt A2 from PHASE-2.9.md.,High,claude-code,,2.1.x Security Strategies Page,To Do,scoring-engine,2.1.x
Story,Security Dashboard Frontend (Phase 2.9 Stream B),"StrategyScorecard.jsx, SecurityDashboard.jsx, wire to real backend data.",High,requirement;claude-code,,2.1.x Security Strategies Page,To Do,evaluation-ui,2.1.x
Task,Create StrategyScorecard.jsx and SecurityDashboard.jsx (mock data),Session 1 Window 2. Prompt B1 from PHASE-2.9.md.,High,claude-code,,2.1.x Security Strategies Page,To Do,evaluation-ui,2.1.x
Task,Wire SecurityDashboard to real backend data,Session 4. Prompt B2 from PHASE-2.9.md. Run integration tests 1-5 after.,High,claude-code;testing-gate,,2.1.x Security Strategies Page,To Do,evaluation-ui,2.1.x
Story,Security Strategies UX Requirements (#35-42),Requirements from Group 6 testing gate specific to Security Strategies page.,High,requirement,,2.1.x Security Strategies Page,To Do,evaluation-ui;scoring-engine,2.1.x
Task,"Currency format: Max Profit/Loss in ##,###.00; zero=0.00; negatives=(6,200.00)",Item #35.,Medium,requirement,,2.1.x Security Strategies Page,To Do,evaluation-ui,2.1.x
Task,"Probability Matrix: date format 04-06-2026 (21d), dynamic DTE, no past dates",Item #36.,Medium,requirement,,2.1.x Security Strategies Page,To Do,evaluation-ui,2.1.x
Task,Probability Matrix: column header Date / Strike (not Date / Price),Item #37.,Low,requirement,,2.1.x Security Strategies Page,To Do,evaluation-ui,2.1.x
Task,"Probability Matrix: heatmap redesign (red/yellow/green gradient, bold white text)","Item #38. 0-33% red, 34-66% yellow, 67-100% green.",Medium,requirement,,2.1.x Security Strategies Page,To Do,evaluation-ui,2.1.x
Task,Strategy Fit panel: show matched strategy parameters instead of Not Found,"Item #39. Display delta range, DTE window, spread width, min premium when match exists.",Medium,requirement,,2.1.x Security Strategies Page,To Do,evaluation-ui;scoring-engine,2.1.x
Task,Strategy Fit panel: score calculation breakdown display,Item #40. Show each scoring component with weight and contribution.,Medium,requirement,,2.1.x Security Strategies Page,To Do,evaluation-ui;scoring-engine,2.1.x
Task,Strategy Fit panel: consistent expand/collapse behavior across screens,Item #41.,Medium,requirement,,2.1.x Security Strategies Page,To Do,evaluation-ui,2.1.x
Task,Strategy Fit panel: Select a strategy to see details default state,Item #42.,Low,requirement,,2.1.x Security Strategies Page,To Do,evaluation-ui,2.1.x
Story,Phase 2.9 Integration Testing,Integration Tests 1-5 from PHASE-2.9.md. Gate before Phase 2.11.,High,testing-gate,,2.1.x Security Strategies Page,To Do,scoring-engine;evaluation-ui,2.1.x
Task,Run Phase 2.9 integration tests (all 5),Session 4. Stop if any test fails.,High,testing-gate,,2.1.x Security Strategies Page,To Do,scoring-engine;evaluation-ui,2.1.x
Epic,Structured Evaluation + Probability Matrix (Phase 2.11),Claude structured evaluation replaces AskClaudePanel. TradeEvaluationCard + ProbabilityMatrix.,High,requirement,Structured Evaluation + Probability Matrix (Phase 2.11),,To Do,ai-evaluation;evaluation-ui,2.1.x
Story,Structured Evaluation Backend (Phase 2.11 Stream A),"Update SKILL.md for structured output, create /evaluate/structured endpoint.",High,requirement;claude-code,,Structured Evaluation + Probability Matrix (Phase 2.11),To Do,ai-evaluation,2.1.x
Task,Update SKILL.md for structured output + create evaluation endpoint,Session 5 Window 1. Prompt A1 from PHASE-2.11.md.,High,claude-code,,Structured Evaluation + Probability Matrix (Phase 2.11),To Do,ai-evaluation,2.1.x
Story,Evaluation Frontend (Phase 2.11 Stream B),"TradeEvaluationCard.jsx, ProbabilityMatrix.jsx, wire end-to-end.",High,requirement;claude-code,,Structured Evaluation + Probability Matrix (Phase 2.11),To Do,evaluation-ui,2.1.x
Task,Create ProbabilityMatrix.jsx and TradeEvaluationCard.jsx (mock data),Session 5 Window 2. Prompt B1 from PHASE-2.11.md.,High,claude-code,,Structured Evaluation + Probability Matrix (Phase 2.11),To Do,evaluation-ui,2.1.x
Task,"Wire evaluation flow end-to-end, retire AskClaudePanel",Session 6 Window 2. Prompt B2 from PHASE-2.11.md.,High,claude-code;testing-gate,,Structured Evaluation + Probability Matrix (Phase 2.11),To Do,evaluation-ui;ai-evaluation,2.1.x
Epic,2.2.x Positions & Portfolio,"Positions page, health grading, paper/live tracking, aggregate stats.",High,requirement,2.2.x Positions & Portfolio,,To Do,positions;positions-ui;database,2.2.x
Story,Positions Backend (Phase 2.10 Stream A),"positions table, Position model, health_grade.py, position_routes.py with 5 endpoints.",High,requirement;claude-code,,2.2.x Positions & Portfolio,To Do,positions;database,2.2.x
Task,"Create positions table, Position model, health_grade.py",Session 2 Window 2. Prompt A1 from PHASE-2.10.md.,High,claude-code,,2.2.x Positions & Portfolio,To Do,positions;database,2.2.x
Task,Create position_routes.py with all 5 endpoints,Session 3 Window 1. Prompt A2 from PHASE-2.10.md.,High,claude-code,,2.2.x Positions & Portfolio,To Do,positions,2.2.x
Story,Positions Frontend (Phase 2.10 Stream B),"PositionsPage.jsx, PositionHealthBadge.jsx, Follow/Take Position buttons.",High,requirement;claude-code,,2.2.x Positions & Portfolio,To Do,positions-ui,2.2.x
Task,Create PositionsPage.jsx with mock data,Session 3 Window 2. Prompt B1 from PHASE-2.10.md.,High,claude-code,,2.2.x Positions & Portfolio,To Do,positions-ui,2.2.x
Task,"Wire PositionsPage to real data, add Follow/Take Position buttons",Session 6 Window 1. Prompt B2 from PHASE-2.10.md.,High,claude-code;testing-gate,,2.2.x Positions & Portfolio,To Do,positions-ui;positions,2.2.x
Story,Positions-Specific Requirements,"Rename Favorites, health grade live, close flow, portfolio context.",Medium,requirement,,2.2.x Positions & Portfolio,To Do,positions;positions-ui,2.2.x
Task,"Rename Favorites to Most Recent Positions, source from position history",Dashboard section rename + data source change.,Medium,requirement,,2.2.x Positions & Portfolio,To Do,dashboard-ui,2.2.x
Task,"Health grade computation live (A-F), updated daily",Position Monitor Agent computes grades.,Medium,requirement,,2.2.x Positions & Portfolio,To Do,positions;agents,2.2.x
Task,"Close position flow, paper vs live toggle, aggregate stats by strategy","PATCH /positions/{id}/close, GET /positions/aggregate.",Medium,requirement,,2.2.x Positions & Portfolio,To Do,positions;positions-ui,2.2.x
Task,Portfolio position context note when ticker is existing holding,Issue #8 from validation assessment. Cross-reference ticker against holdings.,Low,requirement;options-domain,,2.2.x Positions & Portfolio,To Do,ai-evaluation;positions,2.2.x
Story,Integration Test 2 — Full 2.9 + 2.10 + 2.11,Cross-phase integration test. Git tag v2.0.0-pre-azure after passing.,High,testing-gate,,2.2.x Positions & Portfolio,To Do,scoring-engine;positions;ai-evaluation;evaluation-ui;positions-ui,2.2.x
Task,Run integration tests: 2.9 (5) + 2.10 (5) + 2.11 (6) + cross-phase + retirement,"Follow trade from evaluation to position, verify claude_* fields, health grade. Confirm AskClaudePanel gone.",High,testing-gate,,2.2.x Positions & Portfolio,To Do,scoring-engine;positions;ai-evaluation;evaluation-ui;positions-ui,2.2.x
Epic,2.3.x Dashboard Overhaul,"Mockup required before coding. Market Overview caching, Today's Actions, Positions Scorecard.",Medium,requirement,2.3.x Dashboard Overhaul,,To Do,dashboard-ui;data-providers,2.3.x
Story,Dashboard Design Mockup,Mockup and UI-DECISIONS.md update before any code.,Medium,requirement,,2.3.x Dashboard Overhaul,To Do,dashboard-ui,2.3.x
Task,"Create dashboard mockup (Market Overview, Today's Actions, Positions Scorecard)",Items #43-46 from testing gate. Layout approved before build.,Medium,requirement,,2.3.x Dashboard Overhaul,To Do,dashboard-ui,2.3.x
Story,Backend Data Caching,All dashboard data served from cache. No live API calls on page load.,Medium,requirement;framework-portable,,2.3.x Dashboard Overhaul,To Do,data-providers,2.3.x
Task,Backend caching architecture: recurring refresh + manual trigger,"Item #47. Cache market overview, positions, alerts, scorecard. Generic cache pattern reusable across projects.",Medium,requirement;framework-portable,,2.3.x Dashboard Overhaul,To Do,data-providers,2.3.x
Task,"Market Overview: load cached values immediately, replace with live data",Item #43. Last Updated mm-dd-yyyy hh:mm label. Target live data under 5 seconds.,Medium,requirement;options-domain,,2.3.x Dashboard Overhaul,To Do,dashboard-ui;data-providers,2.3.x
Story,Dashboard Sections Build,Three new dashboard sections.,Medium,requirement;options-domain,,2.3.x Dashboard Overhaul,To Do,dashboard-ui,2.3.x
Task,"Today's Actions section: alerts, thresholds, price triggers",Item #45. Only items where condition met today.,Medium,requirement;options-domain,,2.3.x Dashboard Overhaul,To Do,dashboard-ui,2.3.x
Task,Current Positions Scorecard: live scorecard for open positions,"Item #46. Symbol, strategy, entry date, P&L, DTE remaining, status indicator.",Medium,requirement;options-domain,,2.3.x Dashboard Overhaul,To Do,dashboard-ui,2.3.x
Epic,2.4.x Infrastructure & Strategy Admin,"Test/prod DB, result persistence, config drawer popout, Strategies nav, Strategy Profile pages.",Medium,requirement,2.4.x Infrastructure & Strategy Admin,,To Do,config-ui;database;scoring-engine;ui-shell,2.4.x
Story,Config Drawer Popout Sidebar,Second popout sidebar (gear icon) for configuration. Item #28.,Medium,requirement,,2.4.x Infrastructure & Strategy Admin,To Do,config-ui,2.4.x
Task,Config Drawer as second popout sidebar with gear icon trigger,Matches watchlist popout pattern.,Medium,requirement;claude-code,,2.4.x Infrastructure & Strategy Admin,To Do,config-ui;ui-shell,2.4.x
Story,Test/Prod DB Separation,"APP_ENV=dev to ota-db-dev, APP_ENV=prod to ota-db.",Medium,requirement;framework-portable,,2.4.x Infrastructure & Strategy Admin,To Do,database,2.4.x
Task,APP_ENV-based DB config switching,Item #30. Generic environment-based config pattern. Reusable across projects.,Medium,requirement;framework-portable,,2.4.x Infrastructure & Strategy Admin,To Do,database,2.4.x
Story,Result Persistence Across Navigation,Previous analysis results preserved when switching pages. Item #31.,Medium,requirement,,2.4.x Infrastructure & Strategy Admin,To Do,options-terminal;evaluation-ui,2.4.x
Task,"Implement result persistence (AppContext, sessionStorage, or backend cache)",Open architectural decision. Needs decision before build.,Medium,requirement,,2.4.x Infrastructure & Strategy Admin,To Do,options-terminal;evaluation-ui,2.4.x
Story,Strategies Navigation + Strategy Profile Pages,Strategies nav section in left sidebar. Strategy Profile pages.,Medium,requirement;options-domain,,2.4.x Infrastructure & Strategy Admin,To Do,ui-shell;config-ui;scoring-engine,2.4.x
Task,Strategies navigation section in left sidebar (collapsible),Below main tabs. Prompt saved.,Medium,requirement;claude-code,,2.4.x Infrastructure & Strategy Admin,To Do,ui-shell,2.4.x
Task,"Strategy Profile pages: description, parameters, scoring weights, backtest placeholder",One page per strategy. Backtest section is placeholder until 3.3.x.,Medium,requirement;options-domain,,2.4.x Infrastructure & Strategy Admin,To Do,config-ui;scoring-engine,2.4.x
Task,"Strategy Admin (light): enable/disable per strategy, rename",Full builder deferred to 4.x.x pending backtest validation.,Low,requirement;options-domain,,2.4.x Infrastructure & Strategy Admin,To Do,config-ui;scoring-engine,2.4.x
Epic,2.5.x Live Trading Preparation,Full design review required first. Preview mode before any live execution.,Low,requirement,2.5.x Live Trading Preparation,,To Do,options-terminal;data-providers;auth-infra,2.5.x
Story,Schwab Execution Wiring,schwab-py direct execution. Preview mode mandatory before live.,Low,requirement;options-domain,,2.5.x Live Trading Preparation,To Do,data-providers,2.5.x
Task,"Design review: execution flow, preview mode, error handling",Must be completed before any code.,Low,requirement,,2.5.x Live Trading Preparation,To Do,data-providers,2.5.x
Task,Per-trade TOTP challenge (MFA for each execution),Generic per-action MFA pattern. Reusable for any high-stakes confirmation.,Low,requirement;framework-portable,,2.5.x Live Trading Preparation,To Do,auth-infra,2.5.x
Task,Kill switch: emergency stop all pending/open orders,Single button to cancel all. Must be prominent and always accessible.,Low,requirement;options-domain,,2.5.x Live Trading Preparation,To Do,ui-shell;data-providers,2.5.x
Epic,3.x.x Agentic Platform,"Position Monitor Agent, Insight Engine, Portfolio Risk Agent, Market Scan Agent. All on Azure. Agent patterns are framework-portable.",Medium,requirement;framework-portable,3.x.x Agentic Platform,,To Do,agents;ai-evaluation;database,3.x.x
Story,Azure Deployment (Phase 3),"Azure SQL, Key Vault, App Service, Static Web App. Prerequisite for 3.5/3.6.",Medium,requirement,,3.x.x Agentic Platform,To Do,database;auth-infra,3.x.x
Task,Azure SQL migration + Key Vault + App Service + Static Web App,Session 7. All new tables from 2.9/2.10/2.11 deploy with migration.,Medium,requirement,,3.x.x Agentic Platform,To Do,database;auth-infra,3.x.x
Task,Re-run Integration Test 2 against Azure,Verify cloud deployment is clean.,Medium,testing-gate,,3.x.x Agentic Platform,To Do,database;auth-infra,3.x.x
Story,Position Monitor Agent (Phase 3.5),"Daily health checks, threshold detection, insight generation. Agent registration pattern is framework-portable.",Medium,requirement;framework-portable,,3.x.x Agentic Platform,To Do,agents;data-providers,3.x.x
Task,"symbol_context table, ContextSource interface, SchwabPriceContextSource",ContextSource adapter interface is framework-portable. SchwabPriceContextSource is options-domain.,Medium,framework-portable,,3.x.x Agentic Platform,To Do,data-providers;database,3.x.x
Task,Register ota-position-monitor-agent in Foundry (manual),Agent registration pattern: Foundry registration + Entra Agent ID. Reusable for any agent.,Medium,framework-portable,,3.x.x Agentic Platform,To Do,agents,3.x.x
Task,Create position_monitor.py + SKILL.md,Session 9 Window 1. Phase 3.5 Stream B Prompt B1. Domain-specific agent logic.,Medium,options-domain;claude-code,,3.x.x Agentic Platform,To Do,agents;ai-evaluation,3.x.x
Task,Add scheduler + on-demand endpoint,Generic agent scheduler pattern. Reusable for any periodic agent.,Medium,framework-portable,,3.x.x Agentic Platform,To Do,agents,3.x.x
Story,Insight Engine (Phase 3.6),Generic detect-score-communicate engine. Domain-agnostic core with pluggable SKILL.md domains.,Medium,requirement;framework-portable,,3.x.x Agentic Platform,To Do,agents;ai-evaluation,3.x.x
Task,"Create insights table, DeviationDetector","Generic deviation detection: ThresholdRule, TrendRule, AnomalyRule, CorrelationRule. Reusable across domains.",Medium,framework-portable,,3.x.x Agentic Platform,To Do,agents;database,3.x.x
Task,Create InsightEngine + insight_routes.py,Generic engine: observation + baseline + deviation to Claude call to structured insight. Domain-agnostic.,Medium,framework-portable,,3.x.x Agentic Platform,To Do,agents;ai-evaluation,3.x.x
Task,"Create options domain SKILL.md, wire InsightEngine into Position Monitor","Options-specific vocabulary: exit levels, position context, Greeks. First domain plugin.",Medium,options-domain;claude-code,,3.x.x Agentic Platform,To Do,ai-evaluation;agents,3.x.x
Task,Create InsightCard.jsx + Dashboard feed,Generic insight card rendering. Domain-agnostic — filters by domain field.,Medium,framework-portable,,3.x.x Agentic Platform,To Do,dashboard-ui,3.x.x
Task,Integration Test 3: Phase 3.5 + 3.6 end-to-end,Git tag v2.1.0 after passing.,Medium,testing-gate,,3.x.x Agentic Platform,To Do,agents;ai-evaluation;dashboard-ui,3.x.x
Story,Portfolio Risk Agent (3.1.x),"Delta exposure, sector concentration, correlation across all positions.",Low,requirement;options-domain,,3.x.x Agentic Platform,To Do,agents,3.x.x
Story,Market Scan Agent (3.2.x),"Proactive watchlist scoring, opportunity surfacing without user initiating.",Low,requirement;options-domain,,3.x.x Agentic Platform,To Do,agents;scoring-engine,3.x.x
Epic,3.3.x Backtesting Engine,"Historical data, backtesting 12 securities, strategy parameter validation.",Medium,requirement;options-domain,3.3.x Backtesting Engine,,To Do,scoring-engine;data-providers;database,3.3.x
Story,Data Collection (START NOW),Every day without this table is historical data permanently lost.,High,requirement;urgent;options-domain,,3.3.x Backtesting Engine,To Do,database;data-providers,3.3.x
Task,Create options_chain_snapshots table in Azure SQL,Begin daily collection for watchlist symbols using existing Schwab endpoint.,High,requirement;options-domain,,3.3.x Backtesting Engine,To Do,database;data-providers,3.3.x
Story,Historical Data Source,Polygon.io recommended. Evaluate ORATS as alternative.,Medium,requirement,,3.3.x Backtesting Engine,To Do,data-providers,3.3.x
Task,Evaluate and select historical data provider (Polygon.io vs ORATS),"Polygon.io: 2004-present, clean Python SDK. ORATS: specialized but pricier.",Medium,requirement,,3.3.x Backtesting Engine,To Do,data-providers,3.3.x
Task,Build PolygonHistoricalProvider implementing ContextSource interface,ContextSource adapter pattern is framework-portable. Polygon-specific adapter is options-domain.,Medium,requirement;framework-portable,,3.3.x Backtesting Engine,To Do,data-providers,3.3.x
Story,Backtesting Engine Build,Replay 5 years of chain data through scoring logic for 12 securities.,Medium,requirement;options-domain,,3.3.x Backtesting Engine,To Do,scoring-engine,3.3.x
Task,Build backtest runner: replay historical data through strategy scoring,"SPY, QQQ, IWM, AAPL, MSFT, NVDA, AMZN, META, TSLA, JPM, XOM, GLD.",Medium,requirement;options-domain,,3.3.x Backtesting Engine,To Do,scoring-engine,3.3.x
Task,Test 5 backtest variables from validation assessment,"DTE buckets, credit % threshold, cushion %, SMA weight, ATR-based sizing.",Medium,backtest-variable,,3.3.x Backtesting Engine,To Do,scoring-engine,3.3.x
Story,Validation Report & Parameter Calibration,"Win rate, avg P&L, avg DTE compared against theoretical PoP.",Medium,requirement;validation,,3.3.x Backtesting Engine,To Do,scoring-engine,3.3.x
Task,Generate validation report with evidence-based parameter recommendations,Update strategy parameters. Replace Strategy Profile backtest placeholders.,Medium,validation;options-domain,,3.3.x Backtesting Engine,To Do,scoring-engine,3.3.x
Epic,4.x.x Intelligence Expansion,"Backtest feeds Strategy Profiles, MCP, Power BI, full strategy admin, multi-agent orchestration.",Low,requirement,4.x.x Intelligence Expansion,,To Do,agents;ai-evaluation;scoring-engine;config-ui,4.x.x
Story,Additional ContextSource Providers,Social sentiment and fundamentals providers. ContextSource interface is framework-portable.,Low,requirement;framework-portable,,4.x.x Intelligence Expansion,To Do,data-providers,4.x.x
Story,Full Strategy Admin,Add/delete/rename strategies with custom scoring weights. Deferred until backtest validation.,Low,requirement;options-domain,,4.x.x Intelligence Expansion,To Do,config-ui;scoring-engine,4.x.x
Story,MCP Integration + Power BI + Multi-Agent Orchestration,"Claude Tools, Fabric/Power BI, Foundry multi-agent orchestration. MCP patterns are framework-portable.",Low,requirement;framework-portable,,4.x.x Intelligence Expansion,To Do,agents;ai-evaluation,4.x.x
Epic,Ongoing: Strategy Validation Reviews,External Claude assessments each build cycle. Findings triaged into Pipeline Fix / SKILL.md Tune / Backtest Variable.,High,validation;options-domain,Ongoing: Strategy Validation Reviews,,In Progress,scoring-engine;ai-evaluation,Ongoing
Story,Validation Review Process,Monthly minimum. 6-8 tickers per session spanning sectors and volatility profiles.,High,validation;options-domain,,Ongoing: Strategy Validation Reviews,In Progress,scoring-engine;ai-evaluation,Ongoing
Task,"First assessment complete (March 17, 2026)","22 evaluations, 6 tickers, 68% agreement rate. 8 findings triaged.",High,validation,,Ongoing: Strategy Validation Reviews,Done,scoring-engine;ai-evaluation,Ongoing
Task,Post-2.0.x assessment,Verify the 7 disagreements are resolved after pipeline fixes ship.,High,validation,,Ongoing: Strategy Validation Reviews,To Do,scoring-engine;ai-evaluation,Ongoing
